num_comments,num_likes,num_new_celebrities,num_traditional_celebrities,brandname,productcategory
107,65935,0,0,mercedesbenz,car
29,5667,0,0,ferrariusa,car
45,6879,0,0,revlon,beauty&cosmetic
201,172218,0,0,forever21,apparels
1036,96294,0,0,mercedesbenz,car
2,680,0,0,lovisajewellery,jewellery&watches
2176,46821,0,0,danielwellington,jewellery&watches
1124,112935,0,0,mercedesbenz,car
1060,127361,0,0,hm,apparels
281,112967,0,0,bmw,car
79,51522,0,0,dior,apparels
384,52699,0,0,topshop,apparels
114,48085,0,0,topshop,apparels
562,93816,0,0,mercedesbenz,car
1236,112109,0,0,bmw,car
3261,79795,0,0,hm,apparels
131,41951,0,0,dior,apparels
90,16573,0,0,bulgariofficial,jewellery&watches
349,78077,0,0,bmw,car
85,7426,0,0,yslbeauty,beauty&cosmetic
296,40083,0,0,lamborghini,car
168,51932,0,0,dior,apparels
212,29730,0,0,danielwellington,jewellery&watches
332,4343,0,0,tagheuer,jewellery&watches
19,1756,0,0,hyundaiusa,car
5,781,0,0,kitchenaidusa,home equipment
1803,113889,0,0,hm,apparels
71,7932,0,0,revlon,beauty&cosmetic
51,7526,0,0,esteelauder,beauty&cosmetic
96,14790,0,0,bulgariofficial,jewellery&watches
14,808,0,0,kitchenaidusa,home equipment
185,32161,0,0,danielwellington,jewellery&watches
292,51395,0,0,tiffanyandco,jewellery&watches
180,71544,0,0,mercedesbenz,car
109,8555,0,0,esteelauder,beauty&cosmetic
716,149860,0,0,forever21,apparels
137,4448,0,0,toyotausa,car
95,64557,0,0,mercedesbenz,car
142,68798,0,0,mercedesbenz,car
95,36355,0,0,danielwellington,jewellery&watches
381,90581,0,0,mercedesbenz,car
17,894,0,0,lovisajewellery,jewellery&watches
2284,134419,0,0,bmw,car
96,49928,0,0,dior,apparels
656,121122,0,0,hm,apparels
1066,117970,0,0,hm,apparels
819,121040,0,0,bmw,car
996,94451,0,0,mercedesbenz,car
86,14907,0,0,bulgariofficial,jewellery&watches
271,63892,0,0,dior,apparels
291,34951,0,0,danielwellington,jewellery&watches
227,43988,0,0,lamborghini,car
201,86153,0,0,hm,apparels
2071,60866,0,0,tiffanyandco,jewellery&watches
20,4737,0,0,ferrariusa,car
162,53882,0,0,dior,apparels
713,112352,0,0,bmw,car
6,1023,0,0,kitchenaidusa,home equipment
175,68217,0,0,mercedesbenz,car
24,6790,0,0,esteelauder,beauty&cosmetic
200,6009,0,0,toyotausa,car
881,34618,0,0,danielwellington,jewellery&watches
89,6844,0,0,revlon,beauty&cosmetic
57,7478,0,0,esteelauder,beauty&cosmetic
67,56095,0,0,mercedesbenz,car
48,6289,0,0,ferrariusa,car
219,3048,0,0,hyundaiusa,car
41,6201,0,0,ferrariusa,car
66,51824,0,0,mercedesbenz,car
4,1829,0,0,cottononbody,sports equipment
110,30416,0,0,danielwellington,jewellery&watches
22,881,0,0,lovisajewellery,jewellery&watches
129,72601,0,0,mercedesbenz,car
670,120319,0,0,bmw,car
504,120314,0,0,hm,apparels
222,103972,0,0,adidas,sports equipment
306,55542,0,0,dior,apparels
609,59457,0,0,mercedesbenz,car
151,107153,0,0,hm,apparels
1024,113900,0,0,bmw,car
104,45954,0,0,topshop,apparels
927,82819,0,0,dior,apparels
146,9490,0,0,revlon,beauty&cosmetic
315,20105,0,0,bulgariofficial,jewellery&watches
850,113516,0,0,hm,apparels
226,49046,0,0,topshop,apparels
132,71393,0,0,bmw,car
45,8146,0,0,esteelauder,beauty&cosmetic
82,26815,0,0,danielwellington,jewellery&watches
245,40092,0,0,lamborghini,car
173,7629,0,0,tagheuer,jewellery&watches
21,1734,0,0,hyundaiusa,car
3616,131078,0,0,mercedesbenz,car
3,652,0,0,kitchenaidusa,home equipment
12,6540,0,0,esteelauder,beauty&cosmetic
4,2415,0,0,toyotausa,car
444,45645,0,0,tiffanyandco,jewellery&watches
152,5105,0,0,toyotausa,car
2639,81566,0,0,mercedesbenz,car
775,89801,0,0,mercedesbenz,car
1163,79022,0,0,mercedesbenz,car
518,41232,0,0,danielwellington,jewellery&watches
14,1015,0,0,lovisajewellery,jewellery&watches
1314,117438,0,0,mercedesbenz,car
682,97826,0,0,bmw,car
67,5935,0,0,tagheuer,jewellery&watches
143,54215,0,0,topshop,apparels
226,78074,0,0,hm,apparels
422,99317,0,0,mercedesbenz,car
196,44394,0,0,topshop,apparels
421,50989,0,0,dior,apparels
425,62159,0,0,dior,apparels
116,11812,0,0,bulgariofficial,jewellery&watches
101,43676,0,0,topshop,apparels
1722,67883,0,0,hm,apparels
30,4531,0,0,yslbeauty,beauty&cosmetic
4835,45342,0,0,tiffanyandco,jewellery&watches
2090,122441,0,0,bmw,car
2,3994,0,0,tagheuer,jewellery&watches
80,3072,0,0,toyotausa,car
680,141154,0,0,forever21,apparels
127,74443,0,0,mercedesbenz,car
180,29215,0,0,danielwellington,jewellery&watches
26,1328,0,0,hyundaiusa,car
22,5478,0,0,revlon,beauty&cosmetic
112,24495,0,0,danielwellington,jewellery&watches
8,1085,0,0,kitchenaidusa,home equipment
58,60140,0,0,mercedesbenz,car
218,67929,0,0,mercedesbenz,car
67,23615,0,0,danielwellington,jewellery&watches
574,180473,0,0,forever21,apparels
2303,81788,0,0,mercedesbenz,car
14,5730,0,0,tagheuer,jewellery&watches
511,101315,0,0,bmw,car
574,114943,0,0,bmw,car
353,104393,0,0,bmw,car
152,57666,0,0,dior,apparels
382,122782,0,0,hm,apparels
217,78266,0,0,mercedesbenz,car
1566,128186,0,0,bmw,car
850,53563,0,0,lamborghini,car
566,29161,0,0,danielwellington,jewellery&watches
102,43459,0,0,topshop,apparels
298,74674,0,0,mercedesbenz,car
1557,59868,0,0,tiffanyandco,jewellery&watches
315,144923,0,0,forever21,apparels
15,6836,0,0,revlon,beauty&cosmetic
158,79388,0,0,mercedesbenz,car
41,40277,0,0,topshop,apparels
22,2196,0,0,cottononbody,sports equipment
246,61585,0,0,mercedesbenz,car
399,37804,0,0,danielwellington,jewellery&watches
422,186870,0,0,forever21,apparels
1788,86759,0,0,mercedesbenz,car
7,2849,0,0,cottononbody,sports equipment
1470,134230,0,0,hm,apparels
286,75555,0,0,mercedesbenz,car
296,88822,0,0,bmw,car
129,24670,0,0,danielwellington,jewellery&watches
283,91770,0,0,mercedesbenz,car
584,52031,0,0,lamborghini,car
22,5931,0,0,tagheuer,jewellery&watches
481,95810,0,0,bmw,car
104,8357,0,0,ferrariusa,car
670,86217,0,0,mercedesbenz,car
43,7486,0,0,ferrariusa,car
53,8274,0,0,revlon,beauty&cosmetic
83,67562,0,0,mercedesbenz,car
19,5814,0,0,ferrariusa,car
148,27993,0,0,danielwellington,jewellery&watches
1594,109380,0,0,mercedesbenz,car
149,51396,0,0,mercedesbenz,car
44,29374,0,0,danielwellington,jewellery&watches
609,137789,0,0,hm,apparels
398,92755,0,0,bmw,car
2474,121309,0,0,mercedesbenz,car
696,93149,0,0,bmw,car
207,89172,0,0,hm,apparels
353,53844,0,0,topshop,apparels
331,11055,0,0,tagheuer,jewellery&watches
41,34099,0,0,lamborghini,car
705,102226,0,0,mercedesbenz,car
368,72659,0,0,topshop,apparels
120,80117,0,0,bmw,car
59,8752,0,0,esteelauder,beauty&cosmetic
332,26467,0,0,danielwellington,jewellery&watches
392,80745,0,0,hm,apparels
270,77740,0,0,dior,apparels
1565,118036,0,0,bmw,car
325,49599,0,0,lamborghini,car
26,1702,0,0,hyundaiusa,car
626,90623,0,0,mercedesbenz,car
437,23611,0,0,bulgariofficial,jewellery&watches
26,7859,0,0,ferrariusa,car
9,649,0,0,kitchenaidusa,home equipment
136,24646,0,0,danielwellington,jewellery&watches
33,6617,0,0,revlon,beauty&cosmetic
52,7212,0,0,ferrariusa,car
63,9756,0,0,esteelauder,beauty&cosmetic
392,169114,0,0,forever21,apparels
203,68453,0,0,mercedesbenz,car
110,27510,0,0,danielwellington,jewellery&watches
11,841,0,0,lovisajewellery,jewellery&watches
81,31169,0,0,danielwellington,jewellery&watches
1987,78308,0,0,mercedesbenz,car
1684,130054,0,0,hm,apparels
310,82171,0,0,bmw,car
648,80172,0,0,mercedesbenz,car
313,68764,0,0,dior,apparels
4157,141409,0,0,adidas,sports equipment
218,90345,0,0,bmw,car
167,66539,0,0,dior,apparels
583,54357,0,0,topshop,apparels
872,83725,0,0,mercedesbenz,car
803,47871,0,0,lamborghini,car
19,4881,0,0,tagheuer,jewellery&watches
67,8168,0,0,ferrariusa,car
115,46441,0,0,dior,apparels
699,109061,0,0,hm,apparels
68,7124,0,0,yslbeauty,beauty&cosmetic
171,56267,0,0,topshop,apparels
556,51426,0,0,lamborghini,car
45,8230,0,0,esteelauder,beauty&cosmetic
1048,65080,0,0,hm,apparels
523,37640,0,0,danielwellington,jewellery&watches
28,1953,0,0,hyundaiusa,car
488,22900,0,0,bulgariofficial,jewellery&watches
52,6655,0,0,revlon,beauty&cosmetic
298,76938,0,0,mercedesbenz,car
1350,98479,0,0,bmw,car
